발주번호,발주일,공급업체,품목코드,발주수량,단가,납기예정일,발주담당
PO20261090,2026-06-27,GlobalParts,ITEM017,120,95,2026-07-20,김구매
PO20261089,2026-07-07,대한소재,ITEM003,200,3200,2026-07-16,이구매
PO20261088,2026-05-24,abccorp,ITEM001,500,1200,2026-06-04,박구매
PO20261087,2026-06-28,닛폰머티리얼즈,ITEM004,100,5800,2026-07-15,박구매
PO20261086,2026-05-21,성진패키징,ITEM-016,120,210,2026-05-31,김구매
PO20261085,2026-07-07,abccorp,ITEM-001,100,1200,2026-07-18,이구매
PO20261084,2026-05-03,한성정밀,ITEM008,300,2300,2026-05-15,박구매
PO20261083,2026-05-13,한성정밀,ITEM009,120,2750,2026-05-28,박구매
PO20261082,2026-04-19,한화어드밴스드,ITEM012,1000,15200,2026-05-03,박구매
PO20261081,2026-04-26,한성정밀,ITEM009,150,2750,2026-05-06,이구매
PO20261080,2026-06-29,HANWHAADVANCED,ITEM013,500,18700,2026-07-13,김구매
PO20261079,2026-05-13,HanwhaAdvanced,ITEM013,100,18700,2026-05-24,김구매
PO20261078,2026-05-17,한성정밀,ITEM009,50,2750,2026-05-30,김구매
PO20261077,2026-04-06,abccorp,ITEM011,50,2050,2026-04-17,이구매
PO20261076,2026-06-09,성진패키징,ITEM015,250,540,2026-06-18,김구매
PO20261075,2026-05-29,성진패키징,ITEM015,600,540,2026-06-05,김구매
PO20261074,2026-04-15,대한소재,ITEM003,300,3200,2026-04-21,이구매
PO20261073,2026-07-06,GlobalParts,ITEM017,100,95,2026-08-02,김구매
PO20261072,2026-05-27,성진패키징,ITEM015,150,540,2026-06-02,박구매
PO20261071,2026-04-05,미정,ITEM-017,120,95,2026-04-26,이구매
PO20261070,2026-04-01,닛폰머티리얼즈,ITEM004,600,5800,2026-04-16,박구매
PO20261069,2026-04-12,유진케미칼,ITEM019,150,780,2026-04-23,박구매
PO20261068,2026-06-28,ABC주식회사,ITEM010,200,1900,2026-07-09,박구매
PO20261067,2026-06-10,GlobalParts,ITEM018,1000,140,2026-07-01,박구매
PO20261066,2026-05-13,유진케미칼,ITEM-006,500,8900,2026-05-24,김구매
PO20261065,2026-05-31,한성정밀,ITEM009,600,2750,2026-06-13,박구매
PO20261064,2026-06-12,한화어드밴스드,ITEM012,120,15200,2026-06-25,이구매
PO20261063,2026-06-25,abccorp,ITEM999,200,1450,2026-07-08,이구매
PO20261062,2026-06-25,대한소재,ITEM005,50,4100,2026-07-02,박구매
PO20261061,2026-04-30,대한소재,ITEM003,250,3200,2026-05-07,이구매
PO20261060,2026-05-06,한성정밀,ITEM009,100,2750,2026-05-17,이구매
PO20261059,2026-04-12,한성정밀,ITEM008,1000,2300,2026-04-28,김구매
PO20261058,2026-05-07,유진케미칼,ITEM007,50,6400,2026-05-12,박구매
PO20261057,2026-04-24,GlobalPartsInc,ITEM018,1000,140,2026-05-14,이구매
PO20261056,2026-04-23,글로벌파츠,ITEM-018,200,,2026-05-13,이구매
PO20261055,2026-05-24,GLOBALPARTSINC.,ITEM017,150,95,2026-06-20,이구매
